material_id,formula,pbe_bandgap,hse_bandgap,bandgap_correction,dataset,data_source,confidence,mpid,dimensionality
JVASP-22543,Al2 Sr1 Te4,1.7816,2.1841,0.40249999999999986,jarvis_3d,jarvis,high,mp-37091,3D
JVASP-22544,Ag1 As1 F6,1.4341,2.0085,0.5744000000000002,jarvis_3d,jarvis,high,mp-37153,3D
JVASP-22545,Li2 Se4 Y2,1.6253,2.15,0.5246999999999999,jarvis_3d,jarvis,high,mp-37879,3D
JVASP-22546,Li1 Mg1 N1,2.7861,3.6553,0.8692000000000002,jarvis_3d,jarvis,high,mp-37906,3D
JVASP-22547,Ba1 Ga2 Te4,0.6876,1.245,0.5574000000000001,jarvis_3d,jarvis,high,mp-38117,3D
JVASP-22548,N2 O6 Rb2,3.0425,4.2391,1.1965999999999997,jarvis_3d,jarvis,high,mp-38220,3D
JVASP-22550,F6 Ca1 Sn1,5.4907,8.0642,2.5734999999999992,jarvis_3d,jarvis,high,mp-4782,3D
JVASP-22551,N4 O10,0.9323,1.886,0.9536999999999999,jarvis_3d,jarvis,high,mp-504769,3D
JVASP-22552,Nb1 Ru1 Sb1,0.4191,0.4203,0.0012000000000000344,jarvis_3d,jarvis,high,mp-505297,3D
JVASP-22558,F4 Al1 K1,7.2302,10.411,3.1807999999999996,jarvis_3d,jarvis,high,mp-5347,3D
JVASP-22559,Mg2 V2 O6,0.3883,0.6514,0.2631,jarvis_3d,jarvis,high,mp-540570,3D
JVASP-22560,Pd1 K2 O2,1.4642,1.5667,0.10250000000000004,jarvis_3d,jarvis,high,mp-540584,3D
JVASP-22563,C1 Na2 N2,3.3747,5.7709,2.3962000000000003,jarvis_3d,jarvis,high,mp-541989,3D
JVASP-22565,O4 Sn4,0.376,1.0441,0.6681,jarvis_3d,jarvis,high,mp-545820,3D
JVASP-22566,F4 Al1 Rb1,7.3635,9.968,2.6045,jarvis_3d,jarvis,high,mp-5479,3D
JVASP-22567,O4 Sn2,0.8947,2.393,1.4982999999999997,jarvis_3d,jarvis,high,mp-550172,3D
JVASP-22568,K1 O3 I1,2.7309,4.205,1.4741,jarvis_3d,jarvis,high,mp-552729,3D
JVASP-22570,F6 K3 Mo1,0.7397,2.6932,1.9535,jarvis_3d,jarvis,high,mp-553896,3D
JVASP-22571,Si4 O8,5.8315,8.4305,2.599,jarvis_3d,jarvis,high,mp-554089,3D
JVASP-22572,Si4 O8,5.7402,8.6578,2.9176,jarvis_3d,jarvis,high,mp-554151,3D
JVASP-22573,Ti4 O8,2.6815,3.0423,0.3607999999999998,jarvis_3d,jarvis,high,mp-554278,3D
JVASP-22575,Si4 O8,5.7511,8.5336,2.7824999999999998,jarvis_3d,jarvis,high,mp-554573,3D
JVASP-22578,Si4 O8,5.7034,8.4018,2.6983999999999995,jarvis_3d,jarvis,high,mp-555235,3D
JVASP-22580,K3 W1 F6,0.0609,2.4611,2.4002,jarvis_3d,jarvis,high,mp-555403,3D
JVASP-22582,Zn3 S3,2.1197,3.6249,1.5051999999999999,jarvis_3d,jarvis,high,mp-555763,3D
JVASP-22588,Cl4 F12,2.6405,4.4632,1.8226999999999998,jarvis_3d,jarvis,high,mp-556767,3D
JVASP-22591,Zn10 S10,2.0943,3.593,1.4987,jarvis_3d,jarvis,high,mp-557308,3D
JVASP-22592,Cu2 W1 S4,0.9011,1.6956,0.7945,jarvis_3d,jarvis,high,mp-557373,3D
JVASP-22599,Hf1 V1 F6,0.9689,2.3452,1.3763,jarvis_3d,jarvis,high,mp-557938,3D
JVASP-22600,Rb2 S2,1.6518,3.443,1.7912000000000001,jarvis_3d,jarvis,high,mp-558071,3D
JVASP-22602,Be3 F6,8.212,12.3601,4.1480999999999995,jarvis_3d,jarvis,high,mp-558118,3D
JVASP-22603,Tl4 F4,3.0971,3.8061,0.7089999999999996,jarvis_3d,jarvis,high,mp-558134,3D
JVASP-22606,Mn1 Sn1 F6,0.0173,0.0231,0.0058,jarvis_3d,jarvis,high,mp-558761,3D
JVASP-22607,F6 Mo1,4.1506,4.6971,0.5465,jarvis_3d,jarvis,high,mp-558836,3D
JVASP-22608,Ni1 Pt1 F6,0.9156,1.015,0.09939999999999993,jarvis_3d,jarvis,high,mp-558838,3D
JVASP-22610,Cr1 Hg1 F6,0.7563,1.5772,0.8209,jarvis_3d,jarvis,high,mp-558864,3D
JVASP-22611,Si4 O8,5.5433,8.5061,2.9627999999999997,jarvis_3d,jarvis,high,mp-559091,3D
JVASP-22614,Si6 O12,5.6771,8.8854,3.2083000000000004,jarvis_3d,jarvis,high,mp-559550,3D
JVASP-22616,P2 N2 F4,5.8331,8.1311,2.298,jarvis_3d,jarvis,high,mp-560008,3D
JVASP-22617,F6 Ni1 Sn1,1.1443,2.8153,1.671,jarvis_3d,jarvis,high,mp-560023,3D
JVASP-22618,Zn2 S2,2.1391,3.6647,1.5255999999999998,jarvis_3d,jarvis,high,mp-560588,3D
JVASP-22622,Al1 Fe1 F5,0.2421,0.558,0.31590000000000007,jarvis_3d,jarvis,high,mp-561238,3D
JVASP-22624,Rb2 Ni1 F4,0.036,0.0497,0.013700000000000004,jarvis_3d,jarvis,high,mp-561317,3D
JVASP-22625,S4 O12,5.3362,6.9329,1.5967000000000002,jarvis_3d,jarvis,high,mp-561397,3D
JVASP-22626,Te4 F16,4.1271,6.4655,2.338399999999999,jarvis_3d,jarvis,high,mp-561664,3D
JVASP-22630,Cd1 I2,2.2634,3.4561,1.1927000000000003,jarvis_3d,jarvis,high,mp-567259,3D
JVASP-22633,Si8 C8,2.0599,2.819,0.7591000000000001,jarvis_3d,jarvis,high,mp-567505,3D
JVASP-22634,P6 N10,3.8491,5.3701,1.521,jarvis_3d,jarvis,high,mp-567907,3D
JVASP-22635,In2 Si2 Te6,0.1173,0.8781,0.7608,jarvis_3d,jarvis,high,mp-567931,3D
JVASP-22636,Rb2 Sb4,0.0501,1.0028,0.9526999999999999,jarvis_3d,jarvis,high,mp-568018,3D
JVASP-22637,Cd1 In2 Se4,0.8508,2.0998,1.249,jarvis_3d,jarvis,high,mp-568032,3D
JVASP-22639,Si2 Se4,1.737,2.6056,0.8685999999999998,jarvis_3d,jarvis,high,mp-568264,3D
JVASP-22642,Cu2 Hg1 I4,0.2967,0.6013,0.3045999999999999,jarvis_3d,jarvis,high,mp-568598,3D
JVASP-22643,Si5 C5,2.0665,2.8484,0.7818999999999998,jarvis_3d,jarvis,high,mp-568619,3D
JVASP-22644,Si10 C10,2.273,3.0232,0.7502,jarvis_3d,jarvis,high,mp-568656,3D
JVASP-22645,Cd1 In2 Se4,0.6249,1.9644,1.3395,jarvis_3d,jarvis,high,mp-568661,3D
JVASP-22646,Cd1 Br2,2.6819,4.4812,1.7993000000000001,jarvis_3d,jarvis,high,mp-568690,3D
JVASP-22649,Rb2 Sn1 Br6,0.9828,2.213,1.2302,jarvis_3d,jarvis,high,mp-569028,3D
JVASP-22651,Sn4 Cl8,3.2179,4.1834,0.9654999999999996,jarvis_3d,jarvis,high,mp-569152,3D
JVASP-22653,Sr3 Bi1 N1,0.134,0.8975,0.7635,jarvis_3d,jarvis,high,mp-570008,3D
JVASP-22654,Cu2 I2,1.6466,3.1455,1.4989000000000001,jarvis_3d,jarvis,high,mp-570081,3D
JVASP-22656,Hg2 I2 Br2,1.8893,2.9362,1.0469,jarvis_3d,jarvis,high,mp-570172,3D
JVASP-22657,Li1 Mg1 Bi1,0.5333,1.1056,0.5722999999999999,jarvis_3d,jarvis,high,mp-570213,3D
JVASP-22659,Ag2 Hg1 I4,0.9275,1.8489,0.9214,jarvis_3d,jarvis,high,mp-570256,3D
JVASP-22660,Mg1 Cl2,5.6257,8.2875,2.6617999999999995,jarvis_3d,jarvis,high,mp-570259,3D
JVASP-22661,Rb2 Te1 Br6,1.9638,2.4359,0.4721000000000002,jarvis_3d,jarvis,high,mp-570324,3D
JVASP-22662,Na1 N3,4.0396,5.2841,1.2444999999999995,jarvis_3d,jarvis,high,mp-570538,3D
JVASP-22664,Se4 Br4,1.0489,1.9358,0.8869,jarvis_3d,jarvis,high,mp-570589,3D
JVASP-22665,Be2 I4,4.0336,4.7704,0.7368000000000006,jarvis_3d,jarvis,high,mp-570886,3D
JVASP-22666,Os1 Cl4,0.0515,2.018,1.9664999999999997,jarvis_3d,jarvis,high,mp-571035,3D
JVASP-22667,Ca2 Br4,4.5493,5.8447,1.2953999999999999,jarvis_3d,jarvis,high,mp-571166,3D
JVASP-22668,K4 Zn1 As2,0.2123,2.1494,1.9371,jarvis_3d,jarvis,high,mp-571461,3D
JVASP-22669,W1 Cl6,1.2042,2.2651,1.0609,jarvis_3d,jarvis,high,mp-571518,3D
JVASP-22671,Na1 Cr1 O2,0.0071,0.0141,0.006999999999999999,jarvis_3d,jarvis,high,mp-578614,3D
JVASP-22672,Cs1 K2 Sb1,1.2076,2.0427,0.8351,jarvis_3d,jarvis,high,mp-581024,3D
JVASP-22673,B2 N2,4.4687,5.9877,1.5190000000000001,jarvis_3d,jarvis,high,mp-604884,3D
JVASP-22676,H2 Cl2,5.8151,7.5757,1.7606000000000002,jarvis_3d,jarvis,high,mp-632326,3D
JVASP-22677,Ca1 O2,2.9825,4.2213,1.2388000000000003,jarvis_3d,jarvis,high,mp-634859,3D
JVASP-22679,Rb2 H6 Pt1,3.889,5.2734,1.3843999999999999,jarvis_3d,jarvis,high,mp-643101,3D
JVASP-22680,K2 H4 Pd1,2.872,2.9078,0.035800000000000054,jarvis_3d,jarvis,high,mp-643257,3D
JVASP-22683,Y2 Ag2 Se4,0.2966,1.2102,0.9136,jarvis_3d,jarvis,high,mp-676284,3D
JVASP-22685,Cd2 Te2,0.7136,1.7563,1.0427,jarvis_3d,jarvis,high,mp-685146,3D
JVASP-22686,Na2 H6 Pt1,3.5451,4.812,1.2669000000000001,jarvis_3d,jarvis,high,mp-690785,3D
JVASP-22687,Sr2 H1 N1,1.8637,2.9944,1.1307000000000003,jarvis_3d,jarvis,high,mp-690794,3D
JVASP-22688,Mg2 H6 Ru1,3.1276,3.1543,0.026699999999999946,jarvis_3d,jarvis,high,mp-697030,3D
JVASP-22689,Ba2 H6 Ru1,1.8541,2.152,0.29790000000000005,jarvis_3d,jarvis,high,mp-697038,3D
JVASP-22690,Ba2 H6 Os1,1.9379,2.4713,0.5333999999999999,jarvis_3d,jarvis,high,mp-697044,3D
JVASP-22691,Na2 H4 Pt1,2.5013,3.613,1.1117,jarvis_3d,jarvis,high,mp-697096,3D
JVASP-22697,Sb2 O4 F2,1.4581,2.2596,0.8014999999999999,jarvis_3d,jarvis,high,mp-752753,3D
JVASP-22698,Li2 Ag2 F4,1.7326,3.7348,2.0022,jarvis_3d,jarvis,high,mp-752927,3D
JVASP-22699,Bi2 O2 F2,2.8209,4.4944,1.6734999999999998,jarvis_3d,jarvis,high,mp-753594,3D
JVASP-22700,Rb2 O1,1.5529,4.0211,2.4681999999999995,jarvis_3d,jarvis,high,mp-753746,3D
JVASP-23437,Hg1 Sb2 O6,0.6569,2.0293,1.3724,jarvis_3d,jarvis,high,mp-754065,3D
JVASP-23438,Rb2 Ga2 O4,2.755,4.5494,1.7944000000000004,jarvis_3d,jarvis,high,mp-754596,3D
JVASP-23439,Te4 O12,1.3762,2.1866,0.8103999999999998,jarvis_3d,jarvis,high,mp-754658,3D
JVASP-22704,Ca3 Cd1 O4,2.8179,4.6801,1.8622000000000005,jarvis_3d,jarvis,high,mp-755287,3D
JVASP-22705,Sr4 Sb2 O1,1.0105,1.4454,0.43490000000000006,jarvis_3d,jarvis,high,mp-755293,3D
JVASP-22706,Li3 V1 S4,1.8208,2.1221,0.3013000000000001,jarvis_3d,jarvis,high,mp-760375,3D
JVASP-22707,Ca1 Cd3 O4,0.6719,2.0987,1.4268,jarvis_3d,jarvis,high,mp-760403,3D
JVASP-22708,Rb4 I2 O1,0.8543,2.1773,1.323,jarvis_3d,jarvis,high,mp-760417,3D
JVASP-22709,Mg4 As16,0.8396,1.3781,0.5385000000000001,jarvis_3d,jarvis,high,mp-7623,3D
JVASP-22711,Na3 V1 O4,3.7821,4.2884,0.5063000000000004,jarvis_3d,jarvis,high,mp-764673,3D
JVASP-22713,K4 I2 O1,1.3856,2.774,1.3884,jarvis_3d,jarvis,high,mp-768368,3D
JVASP-22715,K2 Ca2 Bi2,1.0976,1.8905,0.7929000000000002,jarvis_3d,jarvis,high,mp-773137,3D
JVASP-22716,F6 K2 Ge1,5.9659,8.5021,2.5362,jarvis_3d,jarvis,high,mp-7825,3D
JVASP-22718,F6 Ge1 Rb2,5.9901,8.3694,2.3793000000000006,jarvis_3d,jarvis,high,mp-7949,3D
JVASP-22719,F3 Mg1 Rb1,7.6493,10.4338,2.7844999999999995,jarvis_3d,jarvis,high,mp-8402,3D
JVASP-22720,Ba2 Sb1 Au1,0.07,0.8916,0.8215999999999999,jarvis_3d,jarvis,high,mp-862631,3D
JVASP-22721,Pb2 Br4,2.6404,3.413,0.7725999999999997,jarvis_3d,jarvis,high,mp-862868,3D
JVASP-22723,Mg2 Mo2 N4,0.9389,1.1371,0.19820000000000004,jarvis_3d,jarvis,high,mp-864954,3D
JVASP-22724,Na1 Li2 Bi1,0.1117,0.931,0.8193,jarvis_3d,jarvis,high,mp-865101,3D
JVASP-22725,Hf1 Si1 Ru2,0.1381,0.1775,0.03939999999999999,jarvis_3d,jarvis,high,mp-866062,3D
JVASP-22726,Na2 Tl1 Sb1,0.2374,0.9655,0.7281,jarvis_3d,jarvis,high,mp-866132,3D
JVASP-22728,Ca2 Sn1 S4,0.9437,2.1023,1.1586,jarvis_3d,jarvis,high,mp-866818,3D
JVASP-22729,Sr2 Sb1 Au1,0.7709,0.9751,0.20419999999999994,jarvis_3d,jarvis,high,mp-867168,3D
JVASP-23440,Sr2 As1 Au1,0.0711,0.8375,0.7664,jarvis_3d,jarvis,high,mp-867192,3D
JVASP-22731,Sr1 Mg2 As2,1.4632,1.9476,0.48439999999999994,jarvis_3d,jarvis,high,mp-867194,3D
JVASP-22734,K1 Nb1 O3,1.5258,2.0536,0.5277999999999998,jarvis_3d,jarvis,high,mp-935811,3D
JVASP-22735,Li1 Ca1 As1,1.8826,2.4401,0.5575000000000001,jarvis_3d,jarvis,high,mp-961684,3D
JVASP-22736,Na1 Ca1 As1,1.7974,2.5997,0.8022999999999998,jarvis_3d,jarvis,high,mp-961685,3D
JVASP-35979,Li1 O3,0.0052,0.0165,0.011300000000000001,jarvis_3d,jarvis,high,mp-1001790,3D
JVASP-37725,Ho1 Al1 Au2,0.098,0.1204,0.02239999999999999,jarvis_3d,jarvis,high,mp-982559,3D
JVASP-7629,S1 Sn1,0.3527,0.9011,0.5484,jarvis_3d,jarvis,high,mp-10013,3D
JVASP-7630,B1 As1,1.415,1.9344,0.5193999999999999,jarvis_3d,jarvis,high,mp-10044,3D
JVASP-7632,Cd2 Sn2 Sb4,0.0561,0.6261,0.57,jarvis_3d,jarvis,high,mp-10063,3D
JVASP-7633,O2 Si1,2.2105,3.2089,0.9983999999999997,jarvis_3d,jarvis,high,mp-10064,3D
JVASP-7634,Ge2 Se4,1.236,2.0553,0.8192999999999999,jarvis_3d,jarvis,high,mp-10074,3D
JVASP-7635,Y2 S2 F2,1.4046,2.1537,0.7491000000000001,jarvis_3d,jarvis,high,mp-10086,3D
JVASP-7638,K1 Ag1 C2,2.4203,3.144,0.7237,jarvis_3d,jarvis,high,mp-10102,3D
JVASP-7639,K3 Sb1,0.9932,2.0078,1.0146000000000002,jarvis_3d,jarvis,high,mp-10159,3D
JVASP-7641,Na2 Ga2 Te4,0.3068,1.1419,0.8351,jarvis_3d,jarvis,high,mp-10164,3D
JVASP-7642,Al2 K2 Te4,1.9508,2.5747,0.6238999999999999,jarvis_3d,jarvis,high,mp-10165,3D
JVASP-7643,Na2 Al2 Se4,2.4391,4.0777,1.6386000000000003,jarvis_3d,jarvis,high,mp-10166,3D
JVASP-7644,K1 Cd1 F3,3.3886,6.5817,3.1931,jarvis_3d,jarvis,high,mp-10175,3D
JVASP-7646,Y2 O2 F2,5.2369,6.6337,1.3967999999999998,jarvis_3d,jarvis,high,mp-10219,3D
JVASP-7647,B4 Nb3,0.0017,0.0027,0.0010000000000000002,jarvis_3d,jarvis,high,mp-10255,3D
JVASP-7648,Zn4 S4,2.1123,3.6163,1.504,jarvis_3d,jarvis,high,mp-10281,3D
JVASP-7649,C4 Ba2,2.2211,3.4537,1.2326000000000001,jarvis_3d,jarvis,high,mp-10293,3D
JVASP-7651,K4 Cu2 Sb2,1.2484,1.7417,0.49330000000000007,jarvis_3d,jarvis,high,mp-10381,3D
JVASP-7652,Rb1 Au1 C2,2.1999,3.0002,0.8003,jarvis_3d,jarvis,high,mp-10421,3D
JVASP-7653,Na1 Au1 C2,1.5238,2.2398,0.7159999999999997,jarvis_3d,jarvis,high,mp-10422,3D
JVASP-7654,K1 Au1 C2,2.0134,2.8759,0.8625000000000003,jarvis_3d,jarvis,high,mp-10423,3D
JVASP-7655,O5 Nb2,1.8405,2.6092,0.7686999999999999,jarvis_3d,jarvis,high,mp-10426,3D
JVASP-7656,Cu2 Se2 Ba1,0.2637,1.1145,0.8508,jarvis_3d,jarvis,high,mp-10437,3D
JVASP-7658,C4 Sr2,2.4013,3.3583,0.9569999999999999,jarvis_3d,jarvis,high,mp-10497,3D
JVASP-7659,Li2 N1 Na1,2.7974,3.4864,0.6890000000000001,jarvis_3d,jarvis,high,mp-10525,3D
JVASP-7660,Al1 Si2 Lu2,0.0011,0.0148,0.0137,jarvis_3d,jarvis,high,mp-10531,3D
JVASP-7661,Ba1 Li1 P1,0.7237,1.4877,0.764,jarvis_3d,jarvis,high,mp-10615,3D
JVASP-7662,Li1 Se2 In1,0.7839,1.5509,0.7669999999999999,jarvis_3d,jarvis,high,mp-10618,3D
JVASP-7663,Sr1 S1,1.777,2.7674,0.9904,jarvis_3d,jarvis,high,mp-10627,3D
JVASP-7664,Sc4,0.0012,0.0063,0.0051,jarvis_3d,jarvis,high,mp-10641,3D
JVASP-7665,Sr1 Te1,0.1792,1.2336,1.0544,jarvis_3d,jarvis,high,mp-10653,3D
JVASP-7668,Al2 Ge2 Sr3,0.0031,0.0038,0.0007000000000000001,jarvis_3d,jarvis,high,mp-10671,3D
JVASP-7670,Ba1 Se1,1.2581,1.9329,0.6748000000000001,jarvis_3d,jarvis,high,mp-10680,3D
JVASP-7671,Cd2 Se2,0.8293,2.0569,1.2276000000000002,jarvis_3d,jarvis,high,mp-1070,3D
JVASP-7674,Th1 Ta1 N3,0.0644,0.8275,0.7631,jarvis_3d,jarvis,high,mp-10732,3D
JVASP-7675,Sm2 O3,4.0694,5.5278,1.4584000000000001,jarvis_3d,jarvis,high,mp-10733,3D
JVASP-7678,Mg1 Se1,2.1169,3.3652,1.2483000000000004,jarvis_3d,jarvis,high,mp-10760,3D
JVASP-7681,Al4 Ru2,0.0299,0.0474,0.017499999999999998,jarvis_3d,jarvis,high,mp-10910,3D
JVASP-7682,Rb2 Pd1 C2,1.7962,2.3724,0.5761999999999998,jarvis_3d,jarvis,high,mp-10918,3D
JVASP-7683,Ho2 S2 F2,1.3904,2.5291,1.1387,jarvis_3d,jarvis,high,mp-10931,3D
JVASP-7684,Er2 S2 F2,1.421,2.3872,0.9662,jarvis_3d,jarvis,high,mp-10932,3D
JVASP-7686,Se4 Sn1 Hg2,0.7662,1.2444,0.47819999999999996,jarvis_3d,jarvis,high,mp-10955,3D
JVASP-7689,Li2 O4 Er2,4.6332,6.4627,1.8294999999999995,jarvis_3d,jarvis,high,mp-10971,3D
JVASP-7691,C2 Yb1,1.142,2.5198,1.3778000000000001,jarvis_3d,jarvis,high,mp-1100,3D
JVASP-7692,Ga2 Cu2 O4,1.032,1.1909,0.15890000000000004,jarvis_3d,jarvis,high,mp-11019,3D
JVASP-7693,Sc2 Au2 O4,1.9153,2.8727,0.9574,jarvis_3d,jarvis,high,mp-11023,3D
JVASP-7695,P6 Sr2,0.0118,0.4176,0.40580000000000005,jarvis_3d,jarvis,high,mp-11108,3D
JVASP-7696,Na5 Cu1 S1 O2,1.6732,2.2479,0.5747,jarvis_3d,jarvis,high,mp-11147,3D
JVASP-7697,Cr3 Si6,0.0253,0.0728,0.0475,jarvis_3d,jarvis,high,mp-11191,3D
JVASP-7699,Pr1 Au1,0.0025,0.0049,0.0024,jarvis_3d,jarvis,high,mp-11255,3D
JVASP-7700,Sm1 Au1,0.004,0.0081,0.0040999999999999995,jarvis_3d,jarvis,high,mp-11257,3D
JVASP-7706,Li1 Si1 Ga1,0.0387,0.6632,0.6245,jarvis_3d,jarvis,high,mp-11390,3D
JVASP-7711,Zr1 Ir1,0.0042,0.0153,0.011099999999999999,jarvis_3d,jarvis,high,mp-11484,3D
JVASP-7714,U1 Rh3,0.0046,0.0084,0.0037999999999999996,jarvis_3d,jarvis,high,mp-1150,3D
JVASP-7715,Ni1 Y1 Sb1,0.0805,0.3093,0.2288,jarvis_3d,jarvis,high,mp-11520,3D
JVASP-7719,O2 Na1 Er1,4.5192,6.4307,1.9115000000000002,jarvis_3d,jarvis,high,mp-11601,3D
JVASP-7722,C1 Si2 Fe2 Dy2,0.0045,0.008,0.0035000000000000005,jarvis_3d,jarvis,high,mp-11705,3D
