material_id,formula,cif_path,pbe_bandgap,hse_bandgap,gap_type,correction,formation_energy,total_energy,spacegroup
JVASP-1390,SrO,FAILED_JVASP-1390.cif,3.405,4.958,mBJ,1.553,-3.02565,,Fm-3m
JVASP-47962,Li2VO2F,FAILED_JVASP-47962.cif,0.0,0.0,mBJ,0.0,-2.67509,,P-3m1
JVASP-1879,NaVO2,FAILED_JVASP-1879.cif,0.0,0.0,mBJ,0.0,-2.26988,,R-3m
JVASP-5482,CSO,FAILED_JVASP-5482.cif,4.642,5.371,mBJ,0.729,-0.53181,,R3m
JVASP-18433,LiNiO2,FAILED_JVASP-18433.cif,0.0,0.516,mBJ,0.516,-1.44752,,R-3m
JVASP-97985,SnHgO3,FAILED_JVASP-97985.cif,0.0,1.116,mBJ,1.116,-1.13228,,R-3c
JVASP-22721,PbBr2,FAILED_JVASP-22721.cif,2.64,3.414,mBJ,0.774,-0.90725,,P4_2/mnm
JVASP-43739,LiFeF3,FAILED_JVASP-43739.cif,0.0,0.0,mBJ,0.0,-2.4143,,Cmcm
JVASP-3534,BiClO,FAILED_JVASP-3534.cif,2.87,4.005,mBJ,1.135,-1.39849,,P4/nmm
JVASP-15831,CrS2,FAILED_JVASP-15831.cif,0.0,0.0,mBJ,0.0,-0.43786,,I-42d
JVASP-3252,Sm2SeO2,FAILED_JVASP-3252.cif,2.316,3.697,mBJ,1.381,-3.24311,,P-3m1
JVASP-48383,NaFePO4,FAILED_JVASP-48383.cif,0.0,0.0,mBJ,0.0,-1.99266,,Cmcm
JVASP-53071,MgIn2O4,FAILED_JVASP-53071.cif,1.509,3.138,mBJ,1.629,-2.06549,,Imma
JVASP-64092,Ba4TiNb,FAILED_JVASP-64092.cif,0.0,0.0,mBJ,0.0,1.3415,,F-43m
JVASP-43079,LiCuS,FAILED_JVASP-43079.cif,0.967,1.578,mBJ,0.611,-0.77246,,P6_3/mmc
JVASP-64428,Ba4NaRh,FAILED_JVASP-64428.cif,0.0,0.0,mBJ,0.0,0.69256,,F-43m
JVASP-50935,AlInO3,FAILED_JVASP-50935.cif,2.464,4.061,mBJ,1.597,-2.48756,,P6_3/mmc
JVASP-64185,Ba4ZrTi,FAILED_JVASP-64185.cif,0.0,0.0,mBJ,0.0,1.14031,,F-43m
JVASP-22698,LiAgF2,FAILED_JVASP-22698.cif,1.737,3.877,mBJ,2.14,-2.08997,,P6_3/mmc
JVASP-37168,YTi,FAILED_JVASP-37168.cif,0.0,0.0,mBJ,0.0,0.35286,,Pm-3m
JVASP-64315,KBaNb,FAILED_JVASP-64315.cif,0.0,0.0,mBJ,0.0,1.56875,,F-43m
JVASP-50807,Ho6ReO12,FAILED_JVASP-50807.cif,0.026,2.429,mBJ,2.403,-3.44532,,R-3
JVASP-50006,RbTaO3,FAILED_JVASP-50006.cif,2.391,3.351,mBJ,0.96,-2.83629,,R3m
JVASP-52881,K3CaP2HO8,FAILED_JVASP-52881.cif,5.395,8.178,mBJ,2.783,-2.50095,,C2/m
JVASP-53435,Sm2ZnS4,FAILED_JVASP-53435.cif,1.4,2.495,mBJ,1.095,-1.69558,,I-42d
JVASP-42398,Li2FeO2F,FAILED_JVASP-42398.cif,0.004,0.0,mBJ,-0.004,-2.23094,,P-3m1
JVASP-16930,VS2,FAILED_JVASP-16930.cif,0.0,0.0,mBJ,0.0,-0.94178,,R-3m
JVASP-64241,Ba4HfCl,FAILED_JVASP-64241.cif,0.0,0.0,mBJ,0.0,0.52226,,F-43m
JVASP-43523,Li4VCr3O8,FAILED_JVASP-43523.cif,0.0,0.0,mBJ,0.0,-2.28643,,P2/m
JVASP-64668,Ba4ZrPb,FAILED_JVASP-64668.cif,0.0,0.0,mBJ,0.0,0.55506,,F-43m
JVASP-50107,Tb2SeO2,FAILED_JVASP-50107.cif,2.347,3.655,mBJ,1.308,-3.31305,,P-3m1
JVASP-3096,Tl2SnF6,FAILED_JVASP-3096.cif,4.346,5.062,mBJ,0.716,-2.35056,,P-3m1
JVASP-22617,NiSnF6,FAILED_JVASP-22617.cif,0.0,0.0,mBJ,0.0,-2.13396,,R-3
JVASP-14614,Sb,FAILED_JVASP-14614.cif,0.0,0.0,mBJ,0.0,0.04824,,Pm-3m
JVASP-5059,Dy3Mn3Ga2Si,FAILED_JVASP-5059.cif,0.0,0.0,mBJ,0.0,-0.31186,,P-62m
JVASP-52544,Ba2YBr7,FAILED_JVASP-52544.cif,3.156,3.768,mBJ,0.612,-2.12953,,C2/c
JVASP-97853,Sn3PO4F3,FAILED_JVASP-97853.cif,2.376,3.034,mBJ,0.658,-1.94364,,P1
JVASP-42657,FeO2,FAILED_JVASP-42657.cif,0.0,0.0,mBJ,0.0,-1.39242,,P4_2/mnm
JVASP-4492,LuTaO4,FAILED_JVASP-4492.cif,4.119,5.36,mBJ,1.241,-3.53591,,P2/c
JVASP-52341,SbOF,FAILED_JVASP-52341.cif,3.601,5.289,mBJ,1.688,-1.86145,,Pna2_1
JVASP-44255,Co3OF5,FAILED_JVASP-44255.cif,0.0,0.0,mBJ,0.0,-1.65659,,P-1
JVASP-42804,V4O3F9,FAILED_JVASP-42804.cif,0.0,0.0,mBJ,0.0,-2.89723,,C2
JVASP-52477,Na2TiO3,FAILED_JVASP-52477.cif,3.235,3.732,mBJ,0.497,-2.63322,,C2/c
JVASP-15431,Li2CuO2,FAILED_JVASP-15431.cif,0.0,0.563,mBJ,0.563,-1.55369,,Immm
JVASP-14740,C,FAILED_JVASP-14740.cif,0.0,3.17,mBJ,3.17,0.0,,P6_3/mmc
JVASP-90336,Sr2H6Os,FAILED_JVASP-90336.cif,2.398,2.894,mBJ,0.496,-0.62937,,Fm-3m
JVASP-48645,VOF3,FAILED_JVASP-48645.cif,2.815,3.183,mBJ,0.368,-2.66891,,P4_1
JVASP-90812,PrAlH6,FAILED_JVASP-90812.cif,2.332,3.193,mBJ,0.861,-0.3662,,R-3m
JVASP-85665,Ba2MgH6,FAILED_JVASP-85665.cif,2.988,3.811,mBJ,0.823,-0.55323,,P-3m1
JVASP-4591,Tl6TeO6,FAILED_JVASP-4591.cif,1.561,2.229,mBJ,0.668,-0.85133,,R-3
JVASP-86570,RePbClO4,FAILED_JVASP-86570.cif,3.172,3.719,mBJ,0.547,-1.59866,,Pmn2_1
JVASP-38312,RbF3,FAILED_JVASP-38312.cif,0.0,0.0,mBJ,0.0,-1.28311,,Pm-3m
JVASP-85785,KH2I3O,FAILED_JVASP-85785.cif,1.811,2.462,mBJ,0.651,-0.88515,,Pc
JVASP-38306,RbLiO3,FAILED_JVASP-38306.cif,0.0,0.0,mBJ,0.0,-0.50274,,Pm-3m
JVASP-85922,Eu2I2O,FAILED_JVASP-85922.cif,0.0,0.0,mBJ,0.0,-1.88116,,Ibam
JVASP-22644,SiC,FAILED_JVASP-22644.cif,2.273,3.023,mBJ,0.75,-0.2438,,P3m1
JVASP-90627,SiNi,FAILED_JVASP-90627.cif,0.0,0.0,mBJ,0.0,-0.28064,,P2_13
JVASP-86502,ThTi2O6,FAILED_JVASP-86502.cif,2.966,3.343,mBJ,0.377,-3.55196,,C2/m
JVASP-37194,Mn2SiRu,FAILED_JVASP-37194.cif,0.0,0.0,mBJ,0.0,-0.28167,,F-43m
JVASP-37044,TiFe2As,FAILED_JVASP-37044.cif,0.0,0.0,mBJ,0.0,-0.33344,,Fm-3m
JVASP-37946,Co3Bi,FAILED_JVASP-37946.cif,0.0,0.0,mBJ,0.0,0.44331,,I4/mmm
JVASP-37051,Ti2GaFe,FAILED_JVASP-37051.cif,0.0,0.298,mBJ,0.298,-0.24587,,F-43m
JVASP-64005,BaNaSc,FAILED_JVASP-64005.cif,0.0,0.0,mBJ,0.0,0.90168,,F-43m
JVASP-38317,RbF3,FAILED_JVASP-38317.cif,0.0,0.0,mBJ,0.0,-1.27512,,I4/mmm
JVASP-37031,TiFe2Sb,FAILED_JVASP-37031.cif,0.0,0.114,mBJ,0.114,-0.23465,,Fm-3m
JVASP-14789,NdTe,FAILED_JVASP-14789.cif,0.0,0.737,mBJ,0.737,-1.46013,,Fm-3m
JVASP-18944,LaAs,FAILED_JVASP-18944.cif,0.0,0.341,mBJ,0.341,-1.63611,,Fm-3m
JVASP-64985,Be2RuPb,FAILED_JVASP-64985.cif,0.0,0.0,mBJ,0.0,0.41383,,I-4m2
JVASP-64784,Ba4NiBr,FAILED_JVASP-64784.cif,0.0,0.0,mBJ,0.0,0.49424,,F-43m
JVASP-107773,Ca3CdO4,FAILED_JVASP-107773.cif,1.85,3.401,mBJ,1.551,-2.77374,,P4/mmm
JVASP-37039,Ti3Sn,FAILED_JVASP-37039.cif,0.0,0.0,mBJ,0.0,-0.17272,,Fm-3m
JVASP-64316,Ba4NbFe,FAILED_JVASP-64316.cif,0.0,0.0,mBJ,0.0,1.56755,,F-43m
JVASP-37104,Sc2MnGe,FAILED_JVASP-37104.cif,0.0,0.0,mBJ,0.0,-0.19439,,F-43m
JVASP-38842,MgMnRh2,FAILED_JVASP-38842.cif,0.0,0.0,mBJ,0.0,-0.30028,,Fm-3m
JVASP-64244,Ba4HfCu,FAILED_JVASP-64244.cif,0.0,0.0,mBJ,0.0,1.02361,,F-43m
JVASP-14830,W,FAILED_JVASP-14830.cif,0.0,0.0,mBJ,0.0,0.0,,Im-3m
JVASP-37057,Ti2InNi,FAILED_JVASP-37057.cif,0.0,0.0,mBJ,0.0,-0.09282,,F-43m
JVASP-64670,Ba4TiSe,FAILED_JVASP-64670.cif,0.0,0.0,mBJ,0.0,0.46016,,F-43m
JVASP-36885,TlCoF3,FAILED_JVASP-36885.cif,0.0,0.0,mBJ,0.0,-1.84964,,Pm-3m
JVASP-1750,ErSbPd,FAILED_JVASP-1750.cif,0.214,0.236,mBJ,0.022,-1.10797,,F-43m
JVASP-36782,MnAgO2,FAILED_JVASP-36782.cif,0.0,0.0,mBJ,0.0,-1.22149,,C2/m
JVASP-36857,MnAuO2,FAILED_JVASP-36857.cif,0.0,0.0,mBJ,0.0,-1.15603,,C2/m
JVASP-37583,VFeRu2,FAILED_JVASP-37583.cif,0.0,0.0,mBJ,0.0,-0.07385,,Fm-3m
JVASP-39364,Ni3Hg,FAILED_JVASP-39364.cif,0.0,0.0,mBJ,0.0,0.28546,,Pm-3m
JVASP-64907,Be2TlIr,FAILED_JVASP-64907.cif,0.0,0.0,mBJ,0.0,0.30087,,I-4m2
JVASP-36850,MnAgO2,FAILED_JVASP-36850.cif,0.0,0.0,mBJ,0.0,-1.21096,,R-3m
JVASP-91700,B2CN,FAILED_JVASP-91700.cif,0.0,0.0,mBJ,0.0,-0.53074,,Pmma
JVASP-36853,MnAuO2,FAILED_JVASP-36853.cif,0.0,0.0,mBJ,0.0,-1.14822,,R-3m
JVASP-98174,Na2LiAlP2,FAILED_JVASP-98174.cif,1.961,2.683,mBJ,0.722,-0.75957,,Cmce
JVASP-323,TiS2,FAILED_JVASP-323.cif,0.0,0.048,mBJ,0.048,-1.42034,,P-3m1
JVASP-38181,KInO3,FAILED_JVASP-38181.cif,0.0,0.0,mBJ,0.0,-1.04267,,Pm-3m
JVASP-1198,ZnTe,FAILED_JVASP-1198.cif,1.057,2.233,mBJ,1.176,-0.45889,,F-43m
JVASP-38327,RbCaO3,FAILED_JVASP-38327.cif,0.0,0.0,mBJ,0.0,-1.29606,,Pm-3m
JVASP-22557,CrCuO2,FAILED_JVASP-22557.cif,0.0,0.0,mBJ,0.0,-1.39347,,R-3m
JVASP-39275,FeAu3,FAILED_JVASP-39275.cif,0.0,0.0,mBJ,0.0,0.16809,,Fm-3m
JVASP-97624,Mg9Si5,FAILED_JVASP-97624.cif,0.0,0.127,mBJ,0.127,-0.16668,,P6_3/m
JVASP-22671,NaCrO2,FAILED_JVASP-22671.cif,0.0,0.0,mBJ,0.0,-1.8573,,R-3m
JVASP-22514,CoF2,FAILED_JVASP-22514.cif,0.0,0.0,mBJ,0.0,-1.57806,,P4_2/mnm
JVASP-28353,CoTe2,FAILED_JVASP-28353.cif,0.0,0.0,mBJ,0.0,-0.19234,,P-3m1
JVASP-3648,HgBr2,FAILED_JVASP-3648.cif,2.075,3.326,mBJ,1.251,-0.33502,,Cmc2_1
JVASP-43427,K2O,FAILED_JVASP-43427.cif,2.106,4.939,mBJ,2.833,-1.19689,,Cmc2_1
JVASP-5485,CdI2,FAILED_JVASP-5485.cif,2.119,3.362,mBJ,1.243,-0.58149,,P6_3mc
JVASP-3396,K3CrO4,FAILED_JVASP-3396.cif,0.0,3.55,mBJ,3.55,-2.00963,,I-42m
JVASP-15528,LiGa2Pd,FAILED_JVASP-15528.cif,0.0,0.0,mBJ,0.0,-0.50139,,Fm-3m
JVASP-49776,Na3CuO2,FAILED_JVASP-49776.cif,1.422,1.982,mBJ,0.56,-1.28752,,Ibam
JVASP-28566,Te2Mo3S4,FAILED_JVASP-28566.cif,0.088,0.056,mBJ,-0.032,-0.6469,,Cm
JVASP-53075,NaNdS2,FAILED_JVASP-53075.cif,1.993,2.948,mBJ,0.955,-1.93964,,I4_1/amd
JVASP-53439,BaFe2S4,FAILED_JVASP-53439.cif,0.0,0.0,mBJ,0.0,-1.01485,,I4/m
JVASP-64189,Ba4MgBe,FAILED_JVASP-64189.cif,0.0,0.0,mBJ,0.0,0.74193,,F-43m
JVASP-3258,Ho2SeO2,FAILED_JVASP-3258.cif,2.318,3.631,mBJ,1.313,-3.3333,,P-3m1
JVASP-97577,Li2CN2,FAILED_JVASP-97577.cif,3.579,6.075,mBJ,2.496,-0.81249,,I4/mmm
JVASP-50007,SrCa2I6,FAILED_JVASP-50007.cif,3.64,4.566,mBJ,0.926,-1.66114,,C2/c
JVASP-97739,Sm2P3Pt6,FAILED_JVASP-97739.cif,0.0,0.0,mBJ,0.0,-0.98025,,I4_1/amd
JVASP-52889,SrH4N2,FAILED_JVASP-52889.cif,2.51,4.802,mBJ,2.292,-0.60111,,I4_1/amd
JVASP-43081,LiCuS,FAILED_JVASP-43081.cif,1.659,1.889,mBJ,0.23,-0.83594,,Fdd2
JVASP-12162,BaCaI4,FAILED_JVASP-12162.cif,3.154,4.107,mBJ,0.953,-1.74197,,P2/m
JVASP-14615,Al,FAILED_JVASP-14615.cif,0.0,0.0,mBJ,0.0,-0.0,,Fm-3m
JVASP-50108,LuGaO3,FAILED_JVASP-50108.cif,2.754,4.532,mBJ,1.778,-2.99117,,P6_3/mmc
JVASP-64437,Ba4NbZn,FAILED_JVASP-64437.cif,0.0,0.0,mBJ,0.0,0.97481,,F-43m
JVASP-19923,MnSe,FAILED_JVASP-19923.cif,0.0,0.0,mBJ,0.0,-0.26969,,Fm-3m
JVASP-60703,HgI2,FAILED_JVASP-60703.cif,1.045,2.1,mBJ,1.055,-0.15384,,I4_1/amd
JVASP-5065,CaMnSi,FAILED_JVASP-5065.cif,0.0,0.0,mBJ,0.0,-0.35438,,P4/nmm
JVASP-64987,BeTlP4,FAILED_JVASP-64987.cif,0.0,0.542,mBJ,0.542,0.65821,,F-43m
JVASP-64317,Ba4TiCd,FAILED_JVASP-64317.cif,0.0,0.0,mBJ,0.0,0.79171,,F-43m
JVASP-64671,Ba4LiTi,FAILED_JVASP-64671.cif,0.0,0.0,mBJ,0.0,0.85425,,F-43m
JVASP-44065,VBO4,FAILED_JVASP-44065.cif,2.754,2.925,mBJ,0.171,-2.4262,,I-4
JVASP-50936,KNdO2,FAILED_JVASP-50936.cif,3.702,5.301,mBJ,1.599,-2.85299,,R-3m
JVASP-50811,KTmO2,FAILED_JVASP-50811.cif,4.204,6.101,mBJ,1.897,-3.08561,,R-3m
JVASP-3177,MgBe2N2,FAILED_JVASP-3177.cif,4.406,5.5,mBJ,1.094,-1.26102,,P-3m1
JVASP-243,NiS2,FAILED_JVASP-243.cif,0.0,0.0,mBJ,0.0,-0.12356,,P6_3/mmc
JVASP-98189,HfGe2,FAILED_JVASP-98189.cif,0.0,0.0,mBJ,0.0,-0.47498,,Cmcm
JVASP-18823,DyAl3,FAILED_JVASP-18823.cif,0.0,0.0,mBJ,0.0,-0.31432,,I4/mmm
JVASP-3117,NaPN2,FAILED_JVASP-3117.cif,4.866,6.471,mBJ,1.605,-0.73127,,I-42d
JVASP-65030,Be2CuIr,FAILED_JVASP-65030.cif,0.0,0.0,mBJ,0.0,-0.21441,,P4mm
JVASP-36852,MnAgO2,FAILED_JVASP-36852.cif,0.0,0.0,mBJ,0.0,-1.21128,,P6_3/mmc
JVASP-91567,SiHgP2,FAILED_JVASP-91567.cif,0.934,1.74,mBJ,0.806,0.02326,,I-42d
JVASP-64331,Ba4MgTe,FAILED_JVASP-64331.cif,0.0,0.0,mBJ,0.0,0.03707,,F-43m
JVASP-48579,VOF3,FAILED_JVASP-48579.cif,2.962,3.317,mBJ,0.355,-2.72413,,P2_12_12_1
JVASP-64873,Ba4LiSe,FAILED_JVASP-64873.cif,0.0,0.0,mBJ,0.0,0.13891,,F-43m
JVASP-64680,BaLiCa,FAILED_JVASP-64680.cif,0.0,0.0,mBJ,0.0,0.53975,,F-43m
JVASP-42809,CoOF,FAILED_JVASP-42809.cif,0.0,0.0,mBJ,0.0,-1.46129,,C2
JVASP-64459,Ba4CrTe,FAILED_JVASP-64459.cif,0.0,0.0,mBJ,0.0,0.39954,,F-43m
JVASP-89269,EuSbO4,FAILED_JVASP-89269.cif,2.37,3.398,mBJ,1.028,-2.55245,,P2_1/c
JVASP-107742,Sm2Ge3,FAILED_JVASP-107742.cif,0.0,0.0,mBJ,0.0,-0.56672,,P-6m2
JVASP-16084,Tc,FAILED_JVASP-16084.cif,0.0,0.0,mBJ,0.0,0.07232,,Fm-3m
JVASP-22559,MgVO3,FAILED_JVASP-22559.cif,0.0,0.651,mBJ,0.651,-2.67984,,Cmcm
JVASP-5503,TeAuCl7,FAILED_JVASP-5503.cif,1.466,2.126,mBJ,0.66,-0.44498,,P-1
JVASP-64955,ZrBeCd,FAILED_JVASP-64955.cif,0.0,0.0,mBJ,0.0,0.71499,,F-43m
JVASP-65071,NaBeBr4,FAILED_JVASP-65071.cif,0.0,0.0,mBJ,0.0,0.3482,,F-43m
JVASP-14833,Sr,FAILED_JVASP-14833.cif,0.0,0.0,mBJ,0.0,0.00187,,Im-3m
JVASP-85370,AlPO4,FAILED_JVASP-85370.cif,3.257,4.553,mBJ,1.296,-2.50004,,Cmmm
JVASP-64142,Ba4ScSi,FAILED_JVASP-64142.cif,0.0,0.0,mBJ,0.0,0.66652,,F-43m
JVASP-64993,Be2CoTe,FAILED_JVASP-64993.cif,0.0,0.0,mBJ,0.0,0.48721,,I-4m2
JVASP-65108,MgBe2Cl,FAILED_JVASP-65108.cif,0.0,0.0,mBJ,0.0,0.45182,,P4/mmm
JVASP-64738,Ba4MgSc,FAILED_JVASP-64738.cif,0.0,0.0,mBJ,0.0,0.53522,,F-43m
JVASP-22517,GaS,FAILED_JVASP-22517.cif,1.418,2.494,mBJ,1.076,-0.70691,,P6_3/mmc
JVASP-86104,Cd2RuC6N6,FAILED_JVASP-86104.cif,2.575,2.968,mBJ,0.393,0.15309,,P-31m
JVASP-47967,LiVC2O6,FAILED_JVASP-47967.cif,0.0,0.0,mBJ,0.0,-1.74319,,R32
JVASP-18513,VSe,FAILED_JVASP-18513.cif,0.0,0.0,mBJ,0.0,-0.51504,,P6_3/mmc
JVASP-43529,LiV2F7,FAILED_JVASP-43529.cif,0.0,0.001,mBJ,0.001,-2.95929,,C2/c
JVASP-64915,Be2TcSb,FAILED_JVASP-64915.cif,0.0,0.0,mBJ,0.0,0.26939,,I-4m2
JVASP-29231,Mg3P2H16O16,FAILED_JVASP-29231.cif,5.379,7.509,mBJ,2.13,-1.64363,,C2/m
JVASP-63925,Ba4SbSe,FAILED_JVASP-63925.cif,0.0,0.0,mBJ,0.0,-0.24395,,F-43m
JVASP-53444,Na3YCl6,FAILED_JVASP-53444.cif,5.3,6.127,mBJ,0.827,-2.10568,,R-3
JVASP-64610,Ba4SrIr,FAILED_JVASP-64610.cif,0.0,0.0,mBJ,0.0,0.76335,,F-43m
JVASP-64390,KBa4Ru,FAILED_JVASP-64390.cif,0.0,0.0,mBJ,0.0,0.95344,,F-43m
JVASP-14790,TiNi,FAILED_JVASP-14790.cif,0.0,0.0,mBJ,0.0,-0.37856,,Pm-3m
JVASP-37034,TiFeCoSb,FAILED_JVASP-37034.cif,0.0,0.0,mBJ,0.0,-0.26977,,F-43m
JVASP-22645,CdIn2Se4,FAILED_JVASP-22645.cif,0.689,1.964,mBJ,1.275,-0.56058,,I-42m
JVASP-65066,BeRePb4,FAILED_JVASP-65066.cif,0.0,0.0,mBJ,0.0,1.50331,,F-43m
JVASP-37036,Ti3In,FAILED_JVASP-37036.cif,0.0,0.0,mBJ,0.0,-0.01939,,Fm-3m
JVASP-37190,MnGaFeCo,FAILED_JVASP-37190.cif,0.0,0.0,mBJ,0.0,-0.10758,,F-43m
JVASP-41448,TmUTc2,FAILED_JVASP-41448.cif,0.0,0.0,mBJ,0.0,-0.08195,,Fm-3m
JVASP-26,P,FAILED_JVASP-26.cif,0.012,0.717,mBJ,0.705,0.00024,,Cmce
JVASP-29226,CdP2H4O4,FAILED_JVASP-29226.cif,4.548,6.931,mBJ,2.383,-1.10265,,C2/c
JVASP-86323,Hf2Ni,FAILED_JVASP-86323.cif,0.0,0.0,mBJ,0.0,-0.36386,,I4/mcm
JVASP-91849,KCoO2,FAILED_JVASP-91849.cif,0.01,0.0,mBJ,-0.01,-1.27507,,P4/nmm
JVASP-15734,TiSi,FAILED_JVASP-15734.cif,0.0,0.0,mBJ,0.0,-0.69215,,Pnma
JVASP-37208,SiPdO3,FAILED_JVASP-37208.cif,0.0,0.0,mBJ,0.0,-1.3133,,Pm-3m
JVASP-38310,RbInO3,FAILED_JVASP-38310.cif,0.0,0.0,mBJ,0.0,-1.03273,,Pm-3m
JVASP-64726,Ba4MgZr,FAILED_JVASP-64726.cif,0.0,0.0,mBJ,0.0,0.75237,,F-43m
JVASP-49837,Al2O3,FAILED_JVASP-49837.cif,4.737,6.341,mBJ,1.604,-3.20783,,P2_1/c
JVASP-91565,CaO,FAILED_JVASP-91565.cif,3.645,5.215,mBJ,1.57,-3.2614,,I4/mmm
JVASP-38201,Rb3Sn,FAILED_JVASP-38201.cif,0.0,0.0,mBJ,0.0,-0.10893,,Fm-3m
JVASP-52548,BaTm2O4,FAILED_JVASP-52548.cif,2.922,4.287,mBJ,1.365,-3.57119,,Cmcm
JVASP-38246,Rb3Ge,FAILED_JVASP-38246.cif,0.0,0.0,mBJ,0.0,0.06053,,Fm-3m
JVASP-48577,VOF3,FAILED_JVASP-48577.cif,2.05,2.377,mBJ,0.327,-2.62339,,C2
JVASP-86206,H3AuC2NCl,FAILED_JVASP-86206.cif,3.442,3.941,mBJ,0.499,-0.03986,,P2_1/m
JVASP-15113,UCr4C4,FAILED_JVASP-15113.cif,0.0,0.0,mBJ,0.0,-0.23004,,I4/m
JVASP-86028,ScCr2AgH4O10,FAILED_JVASP-86028.cif,1.328,1.292,mBJ,-0.036,-1.72065,,P-1
JVASP-85272,C3N4,FAILED_JVASP-85272.cif,2.767,3.709,mBJ,0.942,0.63388,,P-43m
JVASP-48311,Li4MnF7,FAILED_JVASP-48311.cif,0.0,0.0,mBJ,0.0,-2.89974,,F-43m
JVASP-16081,Zr,FAILED_JVASP-16081.cif,0.0,0.0,mBJ,0.0,0.03519,,Fm-3m
JVASP-48233,Li4Mn5O10,FAILED_JVASP-48233.cif,0.0,0.0,mBJ,0.0,-1.99341,,P-1
JVASP-42722,LiCoOF2,FAILED_JVASP-42722.cif,0.0,0.0,mBJ,0.0,-2.01045,,Cc
JVASP-42222,Na2BiO3,FAILED_JVASP-42222.cif,1.101,1.612,mBJ,0.511,-1.55026,,Fdd2
JVASP-38614,MgPbO3,FAILED_JVASP-38614.cif,0.0,0.0,mBJ,0.0,-1.323,,Pm-3m
JVASP-64910,MgBe2Mo,FAILED_JVASP-64910.cif,0.0,0.0,mBJ,0.0,0.36248,,I-4m2
JVASP-37046,Ti2InCo,FAILED_JVASP-37046.cif,0.0,0.0,mBJ,0.0,-0.0605,,F-43m
JVASP-91891,Mg7Fe,FAILED_JVASP-91891.cif,0.0,0.0,mBJ,0.0,0.13947,,P-6m2
JVASP-14958,SeS,FAILED_JVASP-14958.cif,0.0,0.0,mBJ,0.0,0.28984,,Fm-3m
JVASP-43030,NbFeO4,FAILED_JVASP-43030.cif,0.0,0.0,mBJ,0.0,-2.05551,,I-4m2
JVASP-64462,Ba4HfTl,FAILED_JVASP-64462.cif,0.0,0.0,mBJ,0.0,0.71439,,F-43m
